school,district_id,district_name,school_id,achievement_dir,growth_dir,overall_dir,emh
AKRON HIGH SCHOOL,3030,AKRON R-1,90,flat,up,flat,H
ALAMEDA HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,108,flat,flat,flat,H
ARVADA K-8,1420,JEFFERSON COUNTY R-1,109,flat,flat,flat,E
ARVADA K-8,1420,JEFFERSON COUNTY R-1,109,flat,flat,flat,M
ACADEMY ONLINE HIGH SCHOOL,1040,ACADEMY 20,110,,,flat,H
ORTEGA MIDDLE SCHOOL,100,ALAMOSA RE-11J,114,flat,up,flat,M
ALAMOSA HIGH SCHOOL,100,ALAMOSA RE-11J,118,up,flat,flat,H
ARAPAHOE RIDGE HIGH SCHOOL,480,BOULDER VALLEY RE 2,125,,,down,H
SKY VISTA MIDDLE SCHOOL,130,CHERRY CREEK 5,141,flat,flat,flat,M
RIDGEVIEW CLASSICAL CHARTER SCHOOLS,1550,POUDRE R-1,146,down,down,down,E
RIDGEVIEW CLASSICAL CHARTER SCHOOLS,1550,POUDRE R-1,146,flat,flat,flat,H
RIDGEVIEW CLASSICAL CHARTER SCHOOLS,1550,POUDRE R-1,146,flat,flat,flat,M
ALLENDALE ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,148,flat,down,down,E
ALSUP ELEMENTARY SCHOOL,30,ADAMS COUNTY 14,186,flat,up,up,E
MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,10,MAPLETON 1,187,down,flat,flat,H
MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,10,MAPLETON 1,187,down,flat,flat,M
ALTA VISTA CHARTER SCHOOL,2660,LAMAR RE-2,200,flat,down,flat,E
DANIEL C OAKES HIGH SCHOOL--CASTLE ROCK,900,DOUGLAS COUNTY RE 1,201,,,down,H
SMITH HIGH SCHOOL,1828,VALLEY RE-1,202,,,up,H
LORRAINE SECONDARY SCHOOL,1000,FOUNTAIN 8,203,,,flat,A
LORRAINE SECONDARY SCHOOL,1000,FOUNTAIN 8,203,down,,flat,H
RED CANYON HIGH SCHOOL,910,EAGLE COUNTY RE 50,205,down,,up,H
COLORADO'S FINEST ALTERNATIVE HIGH SCHOOL,120,ENGLEWOOD 1,206,down,flat,flat,H
ASPEN VALLEY HIGH SCHOOL,1040,ACADEMY 20,209,up,flat,flat,H
VANTAGE POINT,20,ADAMS 12 FIVE STAR SCHOOLS,210,,,flat,A
VANTAGE POINT,20,ADAMS 12 FIVE STAR SCHOOLS,210,down,,flat,H
VANTAGE POINT,20,ADAMS 12 FIVE STAR SCHOOLS,210,flat,flat,flat,M
MAPLETON EARLY COLLEGE HIGH SCHOOL,10,MAPLETON 1,212,down,up,flat,H
AXL ACADEMY,180,ADAMS-ARAPAHOE 28J,213,flat,flat,flat,E
AXL ACADEMY,180,ADAMS-ARAPAHOE 28J,213,flat,flat,flat,M
ALTURA ELEMENTARY SCHOOL,180,ADAMS-ARAPAHOE 28J,214,down,down,down,E
AMERICAN ACADEMY AT CASTLE PINES CHARTER,900,DOUGLAS COUNTY RE 1,215,flat,down,flat,E
AMERICAN ACADEMY AT CASTLE PINES CHARTER,900,DOUGLAS COUNTY RE 1,215,flat,flat,flat,M
APS ONLINE SCHOOL,180,ADAMS-ARAPAHOE 28J,219,,,flat,H
AMESSE ELEMENTARY SCHOOL,880,DENVER COUNTY 1,220,flat,flat,flat,E
ANIMAS VALLEY ELEMENTARY SCHOOL,1520,DURANGO 9-R,225,up,up,flat,E
ALTONA MIDDLE SCHOOL,470,ST VRAIN VALLEY RE 1J,226,flat,up,flat,M
ANTELOPE RIDGE ELEMENTARY SCHOOL,130,CHERRY CREEK 5,242,flat,flat,flat,E
COYOTE HILLS ELEMENTARY SCHOOL,130,CHERRY CREEK 5,243,flat,down,down,E
GUADALUPE ELEMENTARY SCHOOL,580,SOUTH CONEJOS RE-10,248,flat,up,up,E
ANTELOPE TRAILS ELEMENTARY SCHOOL,1040,ACADEMY 20,249,flat,flat,flat,E
ANTONITO JUNIOR HIGH SCHOOL,580,SOUTH CONEJOS RE-10,250,down,flat,down,M
ANTONITO HIGH SCHOOL,580,SOUTH CONEJOS RE-10,252,up,flat,flat,H
APPLETON ELEMENTARY SCHOOL,2000,MESA COUNTY VALLEY 51,262,flat,up,up,E
GLOBAL LEADERSHIP ACADEMY,10,MAPLETON 1,263,up,flat,flat,E
GLOBAL LEADERSHIP ACADEMY,10,MAPLETON 1,263,up,down,flat,H
GLOBAL LEADERSHIP ACADEMY,10,MAPLETON 1,263,down,flat,flat,M
CIMARRON MIDDLE,900,DOUGLAS COUNTY RE 1,264,up,flat,up,M
CLEAR SKY ELEMENTARY,900,DOUGLAS COUNTY RE 1,265,flat,down,down,E
GOLD RUSH ELEMENTARY,900,DOUGLAS COUNTY RE 1,266,flat,flat,flat,E
MESA MIDDLE SCHOOL,900,DOUGLAS COUNTY RE 1,267,flat,flat,flat,M
ACHIEVEK12,1010,COLORADO SPRINGS 11,269,down,,flat,M
ARAPAHOE HIGH SCHOOL,140,LITTLETON 6,298,flat,flat,flat,H
ARAPAHOE RIDGE ELEMENTARY SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,301,flat,up,flat,E
ARICKAREE ELEMENTARY SCHOOL,3040,ARICKAREE R-2,304,flat,up,up,E
ARICKAREE UNDIVIDED HIGH SCHOOL,3040,ARICKAREE R-2,308,,,up,H
ARICKAREE UNDIVIDED HIGH SCHOOL,3040,ARICKAREE R-2,308,flat,,up,M
ACADEMY HIGH SCHOOL,10,MAPLETON 1,309,down,flat,flat,H
ARKANSAS ELEMENTARY SCHOOL,180,ADAMS-ARAPAHOE 28J,310,down,up,up,E
ARROWHEAD ELEMENTARY SCHOOL,130,CHERRY CREEK 5,348,up,up,up,E
ARROWWOOD ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,354,flat,down,down,E
FRUITA 8/9 SCHOOL,2000,MESA COUNTY VALLEY 51,361,flat,flat,flat,M
RIM ROCK ELEMENTARY SCHOOL,2000,MESA COUNTY VALLEY 51,362,flat,up,up,E
PEAR PARK ELEMENTARY SCHOOL,2000,MESA COUNTY VALLEY 51,363,up,up,up,E
ARVADA HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,370,flat,flat,flat,H
ARVADA WEST HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,378,up,up,flat,H
ASBURY ELEMENTARY SCHOOL,880,DENVER COUNTY 1,388,flat,flat,flat,E
VALDEZ ELEMENTARY SCHOOL,880,DENVER COUNTY 1,408,up,up,up,E
ASHLEY ELEMENTARY SCHOOL,880,DENVER COUNTY 1,418,down,down,down,E
ASPEN ELEMENTARY SCHOOL,2640,ASPEN 1,428,flat,flat,flat,E
CARBONDALE COMMUNITY CHARTER SCHOOL,1180,ROARING FORK RE-1,429,flat,up,flat,E
CARBONDALE COMMUNITY CHARTER SCHOOL,1180,ROARING FORK RE-1,429,up,flat,flat,M
ASPEN MIDDLE SCHOOL,2640,ASPEN 1,430,flat,up,flat,E
ASPEN MIDDLE SCHOOL,2640,ASPEN 1,430,flat,up,up,M
ASPEN HIGH SCHOOL,2640,ASPEN 1,432,down,down,down,H
ASPEN CREEK K-8 SCHOOL,480,BOULDER VALLEY RE 2,441,flat,flat,up,E
ASPEN CREEK K-8 SCHOOL,480,BOULDER VALLEY RE 2,441,flat,flat,down,M
ASPEN CROSSING ELEMENTARY SCHOOL,130,CHERRY CREEK 5,442,up,flat,flat,E
AUDUBON ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,452,flat,up,up,E
AURORA ACADEMY CHARTER SCHOOL,180,ADAMS-ARAPAHOE 28J,458,flat,down,down,E
AURORA ACADEMY CHARTER SCHOOL,180,ADAMS-ARAPAHOE 28J,458,flat,down,down,M
AURORA HILLS MIDDLE SCHOOL,180,ADAMS-ARAPAHOE 28J,464,down,flat,flat,M
AURORA FRONTIER K-8,180,ADAMS-ARAPAHOE 28J,465,flat,down,flat,E
AURORA FRONTIER K-8,180,ADAMS-ARAPAHOE 28J,465,up,flat,flat,M
ATLAS PREPARATORY SCHOOL,980,HARRISON 2,469,flat,flat,down,E
AVON ELEMENTARY SCHOOL,910,EAGLE COUNTY RE 50,471,up,down,flat,E
AVONDALE ELEMENTARY SCHOOL,2700,PUEBLO COUNTY 70,472,down,down,down,E
ZACH ELEMENTARY SCHOOL,1550,POUDRE R-1,477,flat,down,flat,E
BACON ELEMENTARY SCHOOL,1550,POUDRE R-1,490,flat,flat,flat,E
BAKER CENTRAL SCHOOL,2405,FORT MORGAN RE-3,492,up,up,up,E
BETHKE ELEMENTARY SCHOOL,1550,POUDRE R-1,498,flat,flat,flat,E
MONTEREY COMMUNITY SCHOOL,10,MAPLETON 1,501,down,down,flat,E
MONTEREY COMMUNITY SCHOOL,10,MAPLETON 1,501,up,flat,up,M
MEADOW COMMUNITY SCHOOL,10,MAPLETON 1,502,up,up,up,E
MEADOW COMMUNITY SCHOOL,10,MAPLETON 1,502,up,up,up,M
YORK INTERNATIONAL,10,MAPLETON 1,503,down,down,down,E
YORK INTERNATIONAL,10,MAPLETON 1,503,down,flat,flat,H
YORK INTERNATIONAL,10,MAPLETON 1,503,flat,down,down,M
WELBY MONTESSORI SCHOOL,10,MAPLETON 1,504,up,flat,flat,E
ACHIEVE ACADEMY,10,MAPLETON 1,505,flat,flat,down,E
ACHIEVE ACADEMY,10,MAPLETON 1,505,up,up,up,M
EXPLORE ELEMENTARY,10,MAPLETON 1,506,up,flat,up,E
ADVENTURE ELEMENTARY,10,MAPLETON 1,507,flat,flat,flat,E
CLAYTON PARTNERSHIP SCHOOL,10,MAPLETON 1,509,up,flat,up,E
CLAYTON PARTNERSHIP SCHOOL,10,MAPLETON 1,509,down,flat,up,M
CONRAD BALL MIDDLE SCHOOL,1560,THOMPSON R2-J,510,flat,down,down,M
ACADEMY FOR ADVANCED AND CREATIVE LEARNING,1010,COLORADO SPRINGS 11,517,flat,flat,flat,E
ACADEMY FOR ADVANCED AND CREATIVE LEARNING,1010,COLORADO SPRINGS 11,517,flat,,flat,M
BARNUM ELEMENTARY SCHOOL,880,DENVER COUNTY 1,520,flat,flat,flat,E
BARRETT ELEMENTARY SCHOOL,880,DENVER COUNTY 1,540,up,down,down,E
BANNING LEWIS RANCH ACADEMY,1110,FALCON 49,555,up,up,up,E
BANNING LEWIS RANCH ACADEMY,1110,FALCON 49,555,flat,flat,flat,M
BASALT ELEMENTARY SCHOOL,1180,ROARING FORK RE-1,560,up,flat,flat,E
BASALT MIDDLE SCHOOL,1180,ROARING FORK RE-1,561,up,up,up,E
BASALT MIDDLE SCHOOL,1180,ROARING FORK RE-1,561,up,up,up,M
BASALT HIGH SCHOOL,1180,ROARING FORK RE-1,570,flat,up,flat,H
BATES ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,594,down,down,down,E
BATTLE MOUNTAIN HIGH SCHOOL,910,EAGLE COUNTY RE 50,604,flat,flat,flat,H
BATTLE ROCK CHARTER SCHOOL,2035,MONTEZUMA-CORTEZ RE-1,609,down,,down,E
BAUDER ELEMENTARY SCHOOL,1550,POUDRE R-1,612,flat,down,down,E
BAYFIELD ELEMENTARY SCHOOL,1530,BAYFIELD 10 JT-R,632,flat,down,down,E
BAYFIELD MIDDLE SCHOOL,1530,BAYFIELD 10 JT-R,636,flat,flat,flat,M
BAYFIELD HIGH SCHOOL,1530,BAYFIELD 10 JT-R,640,flat,flat,flat,H
BEACH COURT ELEMENTARY SCHOOL,880,DENVER COUNTY 1,650,flat,down,flat,E
BEAR CANYON ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,651,flat,flat,down,E
BEAR CREEK ELEMENTARY SCHOOL,480,BOULDER VALLEY RE 2,652,flat,flat,flat,E
STONE CREEK SCHOOL,8001,CHARTER SCHOOL INSTITUTE,653,flat,down,down,E
STONE CREEK SCHOOL,8001,CHARTER SCHOOL INSTITUTE,653,up,up,up,M
THE PINNACLE CHARTER SCHOOL ELEMENTARY,8001,CHARTER SCHOOL INSTITUTE,654,flat,flat,flat,E
HIGH POINT ACADEMY,8001,CHARTER SCHOOL INSTITUTE,655,flat,flat,up,E
HIGH POINT ACADEMY,8001,CHARTER SCHOOL INSTITUTE,655,up,flat,up,M
T.R. PAUL ACADEMY OF ARTS & KNOWLEDGE,8001,CHARTER SCHOOL INSTITUTE,657,up,up,up,E
T.R. PAUL ACADEMY OF ARTS & KNOWLEDGE,8001,CHARTER SCHOOL INSTITUTE,657,down,,down,M
BEAR CREEK K-8 SCHOOL,1420,JEFFERSON COUNTY R-1,660,down,flat,flat,E
BEAR CREEK K-8 SCHOOL,1420,JEFFERSON COUNTY R-1,660,flat,flat,down,M
BEAR CREEK HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,664,flat,flat,flat,H
BEATTIE ELEMENTARY SCHOOL,1550,POUDRE R-1,678,flat,flat,flat,E
BELL MIDDLE SCHOOL,1420,JEFFERSON COUNTY R-1,694,flat,flat,flat,M
BELLE CREEK CHARTER SCHOOL,40,BRIGHTON 27J,700,flat,down,down,E
BELLE CREEK CHARTER SCHOOL,40,BRIGHTON 27J,700,up,flat,up,M
BELLEVIEW ELEMENTARY SCHOOL,130,CHERRY CREEK 5,714,flat,flat,flat,E
BELMAR ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,724,down,down,down,E
BELMONT ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,738,down,down,down,E
FRANKLIN ELEMENTARY SCHOOL,140,LITTLETON 6,752,flat,down,flat,E
BENJAMIN EATON ELEMENTARY SCHOOL,3085,EATON RE-2,754,flat,flat,flat,E
BENJAMIN FRANKLIN ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,756,flat,flat,flat,E
BENNETT ELEMENTARY SCHOOL,1550,POUDRE R-1,766,flat,down,flat,E
BENNETT ELEMENTARY SCHOOL,50,BENNETT 29J,770,up,up,up,E
BENNETT MIDDLE SCHOOL,50,BENNETT 29J,774,flat,flat,flat,M
BENNETT HIGH SCHOOL,50,BENNETT 29J,775,flat,flat,flat,H
BERGEN VALLEY INTERMEDIATE SCHOOL,1420,JEFFERSON COUNTY R-1,779,flat,flat,down,E
BERRY CREEK MIDDLE SCHOOL,910,EAGLE COUNTY RE 50,793,flat,down,down,M
BERTHOUD ELEMENTARY SCHOOL,1560,THOMPSON R2-J,808,flat,up,flat,E
BERTHOUD HIGH SCHOOL,1560,THOMPSON R2-J,812,flat,flat,flat,H
BESSEMER ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,822,down,down,flat,E
BESSEMER ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,822,down,down,down,M
BETHUNE ELEMENTARY SCHOOL,1490,BETHUNE R-5,832,down,down,down,E
BETHUNE JUNIOR-SENIOR HIGH SCHOOL,1490,BETHUNE R-5,842,flat,up,up,H
BETHUNE JUNIOR-SENIOR HIGH SCHOOL,1490,BETHUNE R-5,842,up,,down,M
BEULAH ELEMENTARY SCHOOL,2700,PUEBLO COUNTY 70,852,flat,down,flat,E
BEULAH MIDDLE SCHOOL,2700,PUEBLO COUNTY 70,856,down,flat,down,M
BEULAH HEIGHTS ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,860,down,down,down,E
B F KITCHEN ELEMENTARY SCHOOL,1560,THOMPSON R2-J,865,down,up,flat,E
BIG THOMPSON ELEMENTARY SCHOOL,1560,THOMPSON R2-J,870,flat,up,up,E
THE BIJOU SCHOOL,1010,COLORADO SPRINGS 11,871,,,down,H
BIRCH ELEMENTARY SCHOOL,480,BOULDER VALLEY RE 2,872,down,up,up,E
BLACK ROCK ELEMENTARY,470,ST VRAIN VALLEY RE 1J,875,flat,flat,flat,E
BLUE MOUNTAIN ELEMENTARY,470,ST VRAIN VALLEY RE 1J,878,flat,flat,up,E
MARY BLAIR ELEMENTARY SCHOOL,1560,THOMPSON R2-J,890,flat,up,flat,E
BLEVINS MIDDLE SCHOOL,1550,POUDRE R-1,892,flat,up,up,M
BOLTZ MIDDLE SCHOOL,1550,POUDRE R-1,898,flat,up,flat,M
BOOKCLIFF MIDDLE SCHOOL,2000,MESA COUNTY VALLEY 51,900,flat,flat,down,M
BOSTON K-8 SCHOOL,180,ADAMS-ARAPAHOE 28J,914,down,down,down,E
BOSTON K-8 SCHOOL,180,ADAMS-ARAPAHOE 28J,914,up,down,down,M
BOULDER COMMUNITY SCHOOL/INTEGRATED STUDIES,480,BOULDER VALLEY RE 2,919,flat,flat,flat,E
BOULDER HIGH SCHOOL,480,BOULDER VALLEY RE 2,924,flat,flat,flat,H
BOULDER PREP CHARTER HIGH SCHOOL,480,BOULDER VALLEY RE 2,934,,,down,H
BRANSON SCHOOL ONLINE,1750,BRANSON REORGANIZED 82,948,down,down,down,E
BRANSON SCHOOL ONLINE,1750,BRANSON REORGANIZED 82,948,flat,down,flat,H
BRANSON SCHOOL ONLINE,1750,BRANSON REORGANIZED 82,948,up,up,up,M
BRADFORD PRIMARY SCHOOL,1420,JEFFERSON COUNTY R-1,950,flat,,flat,E
BLUE HERON ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,951,up,up,up,E
BRADFORD INTERMEDIATE SCHOOL,1420,JEFFERSON COUNTY R-1,952,flat,flat,flat,E
BRADFORD ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,954,flat,down,down,E
BRADLEY ELEMENTARY SCHOOL,880,DENVER COUNTY 1,964,flat,flat,flat,E
BRADY EXPLORATION SCHOOL,1420,JEFFERSON COUNTY R-1,965,up,down,flat,H
BRENTWOOD MIDDLE SCHOOL,3120,GREELEY 6,988,down,down,down,M
BRICKER ELEMENTARY SCHOOL,980,HARRISON 2,1000,flat,down,down,E
BRIDGES,1180,ROARING FORK RE-1,1006,,,flat,H
BRIGGSDALE ELEMENTARY SCHOOL,3146,BRIGGSDALE RE-10,1008,flat,flat,flat,E
BRIGGSDALE UNDIVIDED HIGH SCHOOL,3146,BRIGGSDALE RE-10,1012,up,up,flat,H
BRIGGSDALE UNDIVIDED HIGH SCHOOL,3146,BRIGGSDALE RE-10,1012,down,down,down,M
BRIGHTON HERITAGE ACADEMY,40,BRIGHTON 27J,1021,,,down,A
BRIGHTON HERITAGE ACADEMY,40,BRIGHTON 27J,1021,down,,down,H
BRIGHTON HIGH SCHOOL,40,BRIGHTON 27J,1022,flat,flat,flat,H
BRISTOL ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,1032,flat,up,up,E
BROADWAY ELEMENTARY SCHOOL,2000,MESA COUNTY VALLEY 51,1046,flat,up,up,E
BROMLEY EAST CHARTER SCHOOL,40,BRIGHTON 27J,1052,flat,up,up,E
BROMLEY EAST CHARTER SCHOOL,40,BRIGHTON 27J,1052,up,flat,flat,M
BROMWELL ELEMENTARY SCHOOL,880,DENVER COUNTY 1,1056,flat,flat,down,E
BROOMFIELD HEIGHTS MIDDLE SCHOOL,480,BOULDER VALLEY RE 2,1066,flat,flat,flat,M
BROOMFIELD HIGH SCHOOL,480,BOULDER VALLEY RE 2,1070,flat,flat,flat,H
BROWN ELEMENTARY SCHOOL,880,DENVER COUNTY 1,1076,up,down,flat,E
BRUSH MIDDLE SCHOOL,2395,BRUSH RE-2(J),1094,down,down,down,M
BRUSH HIGH SCHOOL,2395,BRUSH RE-2(J),1096,up,flat,flat,H
BRYANT WEBSTER K-8 SCHOOL,880,DENVER COUNTY 1,1106,down,down,down,E
BRYANT WEBSTER K-8 SCHOOL,880,DENVER COUNTY 1,1106,up,flat,flat,M
BUENA VISTA ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,1126,up,up,up,E
BUENA VISTA HIGH SCHOOL,490,BUENA VISTA R-31,1130,flat,flat,flat,H
BUFFALO RIDGE ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,1131,flat,flat,flat,E
HARRY L MC GINNIS MIDDLE SCHOOL,490,BUENA VISTA R-31,1132,down,flat,down,M
MANHATTAN MIDDLE SCHOOL OF THE ARTS AND ACADEMICS,480,BOULDER VALLEY RE 2,1136,flat,up,up,M
BURLINGTON ELEMENTARY SCHOOL,1500,BURLINGTON RE-6J,1144,flat,up,flat,E
BURLINGTON ELEMENTARY SCHOOL,470,ST VRAIN VALLEY RE 1J,1148,flat,up,flat,E
BURLINGTON MIDDLE SCHOOL,1500,BURLINGTON RE-6J,1150,down,flat,down,E
BURLINGTON MIDDLE SCHOOL,1500,BURLINGTON RE-6J,1150,down,flat,down,M
BURLINGTON HIGH SCHOOL,1500,BURLINGTON RE-6J,1152,down,down,flat,H
BUFFALO TRAIL ELEMENTARY SCHOOL,130,CHERRY CREEK 5,1155,down,flat,flat,E
BYERS ELEMENTARY SCHOOL,190,BYERS 32J,1168,flat,down,down,E
BYERS JUNIOR-SENIOR HIGH SCHOOL,190,BYERS 32J,1176,up,up,up,H
BYERS JUNIOR-SENIOR HIGH SCHOOL,190,BYERS 32J,1176,flat,up,flat,M
CACHE LA POUDRE ELEMENTARY SCHOOL,1550,POUDRE R-1,1186,flat,up,up,E
CACHE LA POUDRE MIDDLE SCHOOL,1550,POUDRE R-1,1190,flat,up,up,M
CALHAN ELEMENTARY SCHOOL,970,CALHAN RJ-1,1210,flat,flat,flat,E
CALHAN MIDDLE SCHOOL,970,CALHAN RJ-1,1215,down,flat,flat,M
CALHAN HIGH SCHOOL,970,CALHAN RJ-1,1218,flat,up,flat,H
CALICHE ELEMENTARY SCHOOL,1828,VALLEY RE-1,1220,down,up,flat,E
CALICHE JUNIOR-SENIOR HIGH SCHOOL,1828,VALLEY RE-1,1224,up,up,flat,H
CALICHE JUNIOR-SENIOR HIGH SCHOOL,1828,VALLEY RE-1,1224,up,up,up,M
CAMPBELL ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,1238,flat,down,down,E
CENTENNIAL ELEMENTARY,470,ST VRAIN VALLEY RE 1J,1245,down,down,down,E
CAMPO UNDIVIDED HIGH SCHOOL,270,CAMPO RE-6,1252,,,up,H
CANON CITY MIDDLE SCHOOL,1140,CANON CITY RE-1,1262,flat,down,down,M
CANON CITY HIGH SCHOOL,1140,CANON CITY RE-1,1266,down,flat,down,H
CANYON CREEK ELEMENTARY SCHOOL,130,CHERRY CREEK 5,1273,up,flat,flat,E
CENTAURI MIDDLE SCHOOL,550,NORTH CONEJOS RE-1J,1276,flat,up,up,M
CAPROCK ACADEMY,8001,CHARTER SCHOOL INSTITUTE,1279,flat,up,down,E
CAPROCK ACADEMY,8001,CHARTER SCHOOL INSTITUTE,1279,flat,flat,flat,H
CAPROCK ACADEMY,8001,CHARTER SCHOOL INSTITUTE,1279,up,down,down,M
CARBON VALLEY ACADEMY,470,ST VRAIN VALLEY RE 1J,1284,up,up,up,E
